name,bias,total_votes,agree,disagree,agree_ratio,agreeance_text,allsides_page
ABC News (Online),left-center,53210,35301,17909,1.9711318331565135,Agrees,https://www.allsides.com/news-source/abc-news-media-bias
Above The Law,left-center,405,266,139,1.9136690647482015,Agrees,https://www.allsides.com/news-source/above-law-media-bias
Abridge News,allsides,649,395,254,1.5551181102362204,Agrees,https://www.allsides.com/news-source/abridge-news-media-bias
AJ+,left,811,607,204,2.9754901960784315,Strongly Agrees,https://www.allsides.com/news-source/aj-media-bias
Al Jazeera,left-center,12258,4889,7369,0.6634550142488804,Disagrees,https://www.allsides.com/news-source/al-jazeera-media-bias
AllSides,allsides,5875,4211,1664,2.5306490384615383,Strongly Agrees,https://www.allsides.com/news-source/allsides
AllSides Community,allsides,4143,2637,1506,1.750996015936255,Agrees,https://www.allsides.com/news-source/allsides-community
AlterNet,left,16591,13639,2952,4.620257452574526,Absolutely Agrees,https://www.allsides.com/news-source/alternet-media-bias
American Greatness,right,697,504,193,2.61139896373057,Strongly Agrees,https://www.allsides.com/news-source/american-greatness-media-bias
American Thinker,right,3001,1957,1044,1.8745210727969348,Agrees,https://www.allsides.com/news-source/american-thinker
Aquinas College Saint,left,1668,1008,660,1.5272727272727273,Agrees,https://www.allsides.com/news-source/aquinas-college-saint
Arc Digital,center,38,19,19,1.0,Neutral,https://www.allsides.com/news-source/arc-digital-media-bias
Arkansas Democrat-Gazette,left,1902,1081,821,1.3166869671132766,Somewhat Agrees,https://www.allsides.com/news-source/arkansas-democrat-gazette
Associated Press,center,47114,26640,20474,1.3011624499365049,Somewhat Agrees,https://www.allsides.com/news-source/associated-press-media-bias
Atlanta Black Star,left-center,241,93,148,0.6283783783783784,Disagrees,https://www.allsides.com/news-source/atlanta-black-star-media-bias
Atlanta Journal-Constitution,left-center,2101,1096,1005,1.090547263681592,Somewhat Agrees,https://www.allsides.com/news-source/atlanta-journal-constitution
Austin American-Statesman,left-center,1693,936,757,1.236459709379128,Somewhat Agrees,https://www.allsides.com/news-source/austin-american-statesman
Axios,center,12436,6038,6398,0.9437324163801187,Somewhat Disagrees,https://www.allsides.com/news-source/axios
AZ Central,center,679,253,426,0.5938967136150235,Disagrees,https://www.allsides.com/news-source/az-central-media-bias
Babylon Bee (Humor),right-center,815,595,220,2.7045454545454546,Strongly Agrees,https://www.allsides.com/news-source/babylon-bee-media-bias
Barnstable Patriot,center,1307,603,704,0.8565340909090909,Somewhat Disagrees,https://www.allsides.com/news-source/barnstable-patriot
BBC News,center,54202,29177,25025,1.165914085914086,Somewhat Agrees,https://www.allsides.com/news-source/bbc-news-media-bias
Bearing Drift,right,1344,719,625,1.1504,Somewhat Agrees,https://www.allsides.com/news-source/bearing-drift
BET,left-center,711,286,425,0.6729411764705883,Somewhat Disagrees,https://www.allsides.com/news-source/bet-media-bias
Biblical Gender Roles,right,232,172,60,2.8666666666666667,Strongly Agrees,https://www.allsides.com/news-source/biblical-gender-roles-media-bias
Biblical Sexology,right,183,127,56,2.267857142857143,Strongly Agrees,https://www.allsides.com/news-source/biblical-sexology-media-bias
Bizpac Review,right,173,115,58,1.9827586206896552,Agrees,https://www.allsides.com/news-source/bizpac-review-media-bias
Black Enterprise,left-center,235,85,150,0.5666666666666667,Disagrees,https://www.allsides.com/news-source/black-enterprise-media-bias
Block Club Chicago,left,143,90,53,1.6981132075471699,Agrees,https://www.allsides.com/news-source/book-club-chicago-media-bias
Bloomberg,left-center,36929,15874,21055,0.7539301828544289,Somewhat Disagrees,https://www.allsides.com/news-source/bloomberg-media-bias
Blue Virginia,left,1470,859,611,1.4058919803600656,Somewhat Agrees,https://www.allsides.com/news-source/blue-virginia
Boing Boing,left,1634,983,651,1.5099846390168972,Agrees,https://www.allsides.com/news-source/boing-boing
Boston Herald,right-center,1116,620,496,1.25,Somewhat Agrees,https://www.allsides.com/news-source/boston-herald-media-bias
Boston Herald Editorial,right-center,652,329,323,1.0185758513931888,Somewhat Agrees,https://www.allsides.com/news-source/boston-herald-editorial-media-bias
Boston Review,left-center,151,74,77,0.961038961038961,Somewhat Disagrees,https://www.allsides.com/news-source/boston-review-media-bias
Bowling Green Daily News,left-center,1358,656,702,0.9344729344729344,Somewhat Disagrees,https://www.allsides.com/news-source/bowling-green-daily-news
Braver Angels,allsides,300,165,135,1.2222222222222223,Somewhat Agrees,https://www.allsides.com/news-source/braver-angels-media-bias
Breitbart News,right,50379,39162,11217,3.4913078363198715,Absolutely Agrees,https://www.allsides.com/news-source/breitbart
Bridgemi.com,center,307,169,138,1.2246376811594204,Somewhat Agrees,https://www.allsides.com/news-source/bridgemicom-media-bias
Brown Girl Magazine,left,201,147,54,2.7222222222222223,Strongly Agrees,https://www.allsides.com/news-source/brown-girl-magazine-media-bias
Bustle,left-center,1772,893,879,1.0159271899886235,Somewhat Agrees,https://www.allsides.com/news-source/bustle
BuzzFeed News,left,33667,24478,9189,2.663837196648166,Strongly Agrees,https://www.allsides.com/news-source/buzzfeed-media-bias
Byron Donalds,right-center,55,33,22,1.5,Somewhat Agrees,https://www.allsides.com/news-source/byron-donalds-media-bias
C-SPAN,center,5467,4129,1338,3.085949177877429,Absolutely Agrees,https://www.allsides.com/news-source/c-span
CalMatters,center,1530,821,709,1.157968970380818,Somewhat Agrees,https://www.allsides.com/news-source/calmatters
CalWatchdog,center,1246,604,642,0.940809968847352,Somewhat Disagrees,https://www.allsides.com/news-source/calwatchdog
Care2,left,1356,665,691,0.9623733719247467,Somewhat Disagrees,https://www.allsides.com/news-source/care-2
CBN,right,10559,6997,3562,1.9643458731049972,Agrees,https://www.allsides.com/news-source/cbn
CBS News (Online),left-center,30930,18873,12057,1.5653147549141577,Agrees,https://www.allsides.com/news-source/cbs-news-media-bias
Center - Major Media Sources,center,1347,723,624,1.1586538461538463,Somewhat Agrees,https://www.allsides.com/news-source/center-major-media-sources
Center for Public Integrity,left-center,1665,765,900,0.85,Somewhat Disagrees,https://www.allsides.com/news-source/center-public-integrity
Centre View,left-center,1358,650,708,0.9180790960451978,Somewhat Disagrees,https://www.allsides.com/news-source/centre-view
Chicago Crusader,left,103,76,27,2.814814814814815,Strongly Agrees,https://www.allsides.com/news-source/chicago-crusader-media-bias
Chicago Defender,left,172,120,52,2.3076923076923075,Strongly Agrees,https://www.allsides.com/news-source/chicago-defender-media-bias
Chicago Sun-Times,left-center,1817,900,917,0.9814612868047983,Somewhat Disagrees,https://www.allsides.com/news-source/chicago-sun-times
